Anno,Testi,Token
1842,2,144051
1840,3,383572
1854,1,28769
1850,1,144069
1859,1,445419
1856,1,145500
1853,1,138607
1867,3,529820
1868,1,101274
1869,2,142792
1863,1,349587
1860,3,480066
1862,1,49982
1861,1,72772
1866,1,42641
1875,3,113945
1871,1,17964
1879,2,124767
1874,1,18253
1870,2,134630
1876,1,51726
1883,1,13169
1887,4,200748
1881,6,429892
1889,3,212674
1886,2,196599
1888,1,63009
1885,1,115002
1882,1,141239
1891,2,76893
1892,2,192951
1898,2,182122
1895,1,60807
1890,4,336848
1897,3,178986
1894,1,232999
1896,2,148456
1900,1,36913
1901,4,354130
1903,3,178270
1908,1,59654
1904,1,89679
1907,1,113802
1909,1,78881
1919,3,113805
1913,3,306586
1912,5,324962
1914,1,160219
1915,1,73431
1917,1,55764
1921,1,67390
1920,3,122368
1923,1,154338
