File,Lemma,Occurrences,Language,LemmaID,Source,Tags,Author,Title,Gender,Year,Decade,Description
Capuana-Luigi_Profumo_1900.txt,stella,1,it,http://www.wikidata.org/entity/Q15982595,wikidata,profession,Capuana Luigi,Profumo,m,1892,1890_1899,artista del mondo dello spettacolo che gode di molta popolarità
Capuana-Luigi_Profumo_1900.txt,balia,5,it,http://www.wikidata.org/entity/Q472898,wikidata,profession,Capuana Luigi,Profumo,m,1892,1890_1899,persona che accudisce un neonato provvedendo anche al suo allattamento
Capuana-Luigi_Profumo_1900.txt,comico,1,it,http://www.wikidata.org/entity/Q245068,wikidata,profession,Capuana Luigi,Profumo,m,1892,1890_1899,artista professionale che racconta barzellette e compie atti divertenti
Capuana-Luigi_Profumo_1900.txt,becchino,1,it,http://www.sapere.it/enciclopedia/becchino.html,sapere,profession,Capuana Luigi,Profumo,m,1892,1890_1899,becchino: sm. [sec. XIV; da beccamorto]. Chi è addetto al seppellimento dei morti; necroforo: “Una maniera di beccamorti... che chiamar si facevano becchini” (Boccaccio).
Capuana-Luigi_Profumo_1900.txt,guardia,5,it,http://www.wikidata.org/entity/Q680928,wikidata,profession,Capuana Luigi,Profumo,m,1892,1890_1899,
Capuana-Luigi_Profumo_1900.txt,cavaliere,21,it,http://www.wikidata.org/entity/Q2730732,wikidata,profession,Capuana Luigi,Profumo,m,1892,1890_1899,atleta che pratica lo sport dell'equitazione
Capuana-Luigi_Profumo_1900.txt,matematico,4,it,http://www.wikidata.org/entity/Q170790,wikidata,profession,Capuana Luigi,Profumo,m,1892,1890_1899,professione
Capuana-Luigi_Profumo_1900.txt,esattore,1,it,http://www.wikidata.org/entity/Q1139055,wikidata,profession,Capuana Luigi,Profumo,m,1892,1890_1899,professione
Capuana-Luigi_Profumo_1900.txt,regina,1,it,http://www.wikidata.org/entity/Q16511993,wikidata,profession,Capuana Luigi,Profumo,m,1892,1890_1899,monarca di genere femminile
Capuana-Luigi_Profumo_1900.txt,medico,17,it,http://www.sapere.it/enciclopedia/m%C3%A8dico.html,sapere,profession,Capuana Luigi,Profumo,m,1892,1890_1899,mèdico: agg. e sm. (pl. m. -ci) [sec. XIII; dal latino medícus; da medēri; curare].
Capuana-Luigi_Profumo_1900.txt,funzionario,2,it,http://www.wikidata.org/entity/Q212238,wikidata,profession,Capuana Luigi,Profumo,m,1892,1890_1899,persona titolare di un ufficio nell'ambito di un ente pubblico
Capuana-Luigi_Profumo_1900.txt,capo,44,it,http://www.wikidata.org/entity/Q59260362,wikidata,profession,Capuana Luigi,Profumo,m,1892,1890_1899,posizione all'interno di una organizzazione
Capuana-Luigi_Profumo_1900.txt,serva,5,it,http://www.sapere.it/enciclopedia/s%C3%A8rva.html,sapere,profession,Capuana Luigi,Profumo,m,1892,1890_1899,sèrva: sf. [sec. XIV; f. di servo].
Capuana-Luigi_Profumo_1900.txt,lavandaia,1,it,http://www.wikidata.org/entity/Q16624872,wikidata,profession,Capuana Luigi,Profumo,m,1892,1890_1899,
Capuana-Luigi_Profumo_1900.txt,sottoprefetto,2,it,http://www.wikidata.org/entity/Q3382119,wikidata,profession,Capuana Luigi,Profumo,m,1892,1890_1899,funzionario di una suddivisione amministrativa di uno Stato
Capuana-Luigi_Profumo_1900.txt,filosofo,1,it,http://www.wikidata.org/entity/Q4964182,wikidata,profession,Capuana Luigi,Profumo,m,1892,1890_1899,persona che si occupa di filosofia
Capuana-Luigi_Profumo_1900.txt,scienziato,3,it,http://www.wikidata.org/entity/Q901,wikidata,profession,Capuana Luigi,Profumo,m,1892,1890_1899,persona che è esperta in un campo della scienza
Capuana-Luigi_Profumo_1900.txt,governatore,1,it,http://www.wikidata.org/entity/Q132050,wikidata,profession,Capuana Luigi,Profumo,m,1892,1890_1899,funzionario a capo di un settore; civile o militare
Capuana-Luigi_Profumo_1900.txt,avvocato,3,it,http://www.wikidata.org/entity/Q21272499,wikidata,profession,Capuana Luigi,Profumo,m,1892,1890_1899,in Italia; libero professionista che si occupa di consulenza; assistenza e rappresentanza legale
Capuana-Luigi_Profumo_1900.txt,usciere,2,it,http://www.sapere.it/enciclopedia/usci%C3%A8re%C2%B9.html,sapere,profession,Capuana Luigi,Profumo,m,1892,1890_1899,uscière¹: (non comune
Capuana-Luigi_Profumo_1900.txt,segretario,2,it,http://www.wikidata.org/entity/Q80687,wikidata,profession,Capuana Luigi,Profumo,m,1892,1890_1899,impiegato che svolge vari tipi di mansioni
Capuana-Luigi_Profumo_1900.txt,carabiniere,3,it,http://www.wikidata.org/entity/Q13386767,wikidata,profession,Capuana Luigi,Profumo,m,1892,1890_1899,militare
Capuana-Luigi_Profumo_1900.txt,panettiere,1,it,http://www.wikidata.org/entity/Q160131,wikidata,profession,Capuana Luigi,Profumo,m,1892,1890_1899,persona che produce e vende pane e altri prodotti da forno
Capuana-Luigi_Profumo_1900.txt,macellaio,2,it,http://www.wikidata.org/entity/Q329737,wikidata,profession,Capuana Luigi,Profumo,m,1892,1890_1899,artigiano addetto alla preparazione e vendita della carne
Capuana-Luigi_Profumo_1900.txt,maestro,2,it,http://www.wikidata.org/entity/Q2251335,wikidata,profession,Capuana Luigi,Profumo,m,1892,1890_1899,professione
Capuana-Luigi_Profumo_1900.txt,cassiere,1,it,http://www.wikidata.org/entity/Q1735282,wikidata,profession,Capuana Luigi,Profumo,m,1892,1890_1899,profesione
Capuana-Luigi_Profumo_1900.txt,portatore,1,it,http://www.wikidata.org/entity/Q1509714,wikidata,profession,Capuana Luigi,Profumo,m,1892,1890_1899,
Capuana-Luigi_Profumo_1900.txt,sarta,2,it,http://www.sapere.it/enciclopedia/sarta.html,sapere,profession,Capuana Luigi,Profumo,m,1892,1890_1899,sarta: sf. [sec. XV; f. di sarto]. Donna che; in proprio o come lavoratrice dipendente; taglia e confeziona abiti; specialmente femminili.
Capuana-Luigi_Profumo_1900.txt,scolaro,1,it,http://www.wikidata.org/entity/Q2248623,wikidata,profession,Capuana Luigi,Profumo,m,1892,1890_1899,
Capuana-Luigi_Profumo_1900.txt,custode,2,it,http://www.wikidata.org/entity/Q64155712,wikidata,profession,Capuana Luigi,Profumo,m,1892,1890_1899,addetto alla custodia; alla cura; alla sorveglianza di edifici; case; animali; persone
Capuana-Luigi_Profumo_1900.txt,carrettiere,1,it,http://www.wikidata.org/entity/Q1473046,wikidata,profession,Capuana Luigi,Profumo,m,1892,1890_1899,
Capuana-Luigi_Profumo_1900.txt,re,1,it,http://www.wikidata.org/entity/Q12097,wikidata,profession,Capuana Luigi,Profumo,m,1892,1890_1899,titolo nobiliare maschile
Capuana-Luigi_Profumo_1900.txt,ispettore,7,it,http://www.wikidata.org/entity/Q27214348,wikidata,profession,Capuana Luigi,Profumo,m,1892,1890_1899,
Capuana-Luigi_Profumo_1900.txt,giardiniera,1,it,http://www.sapere.it/enciclopedia/giardini%C3%A8ra.html,sapere,profession,Capuana Luigi,Profumo,m,1892,1890_1899,giardinièra: sf. e agg. [sec. XVII; da giardiniere].
Capuana-Luigi_Profumo_1900.txt,fisico,1,it,http://www.wikidata.org/entity/Q169470,wikidata,profession,Capuana Luigi,Profumo,m,1892,1890_1899,scienziato che si occupa di fisica
